id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion,codigo_titulo_vector,match_status
65,139,4,INV_4_20300928,2022-09-28 BONOS DEL ESTADO 2030-09-28,2022-09-28,2030-09-28,5.93,,,,,0.907591517239227,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100203300928,matched_2d
66,135,2,INV_2_20201211,2020-07-20 SURPAPEL 2020-12-11,2020-07-20,2020-12-11,8.93,8.93,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
67,137,2,INV_2_20201124,2020-06-02 REPAPERS RECICLAJE DEL ECUADOR SA 2020-11-24,2020-06-02,2020-11-24,9.01,9.01,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
68,130,2,INV_2_20210212,2020-08-21 CARTIMEX S. A. 2021-02-12,2020-08-21,2021-02-12,9.08,9.08,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
69,128,1,INV_1_20140425,2014-03-26 Diners 2014-04-25,2014-03-26,2014-04-25,3.7,3.7,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
70,130,2,INV_2_20201129,2020-07-07 CARTIMEX S. A. 2020-11-29,2020-07-07,2020-11-29,8.46,8.46,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
71,132,2,INV_2_20200102,2019-08-16 INDUGEM - INDUSTRIAL GEMINIS 2020-01-02,2019-08-16,2020-01-02,8.75,8.75,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_alias
72,128,1,INV_1_20200217,2019-01-03 Diners 2020-02-17,2019-01-03,2020-02-17,3.3,3.3,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
73,139,4,INV_4_20310517,2023-05-17 BONOS DEL ESTADO 2031-05-17,2023-05-17,2031-05-17,5.93,,,,,0.86920971137276,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100201310517,matched_2d
74,128,1,INV_1_20140526,2014-03-26 Diners 2014-05-26,2014-03-26,2014-05-26,4.4,4.4,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
75,141,3,INV_3_20210830,Superdeporte 2021-08-30,,2021-08-30,8.76,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
76,130,2,INV_2_20210227,2020-09-07 CARTIMEX S. A. 2021-02-27,2020-09-07,2021-02-27,9.13,9.13,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
77,142,5,INV_5_20241204,AGRO SILVIA MARIA AGROSYLMA 2024-12-04 2024-12-04,,2024-12-04,8.0,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
78,130,2,INV_2_20201227,2020-08-14 CARTIMEX S. A. 2020-12-27 1,2020-08-14,2020-12-27,8.79,8.79,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
79,130,2,INV_2_20210224,2020-09-02 CARTIMEX S. A. 2021-02-24,2020-09-02,2021-02-24,9.03,9.03,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
80,139,4,INV_4_20290627,2022-06-27 BONOS DEL ESTADO 2029-06-27,2022-06-27,2029-06-27,5.64,,,,,0.92957174386855,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100201290627,matched_2d
81,139,4,INV_4_20301106,2025-11-06 BONOS DEL ESTADO 2030-11-06,2025-11-06,2030-11-06,7.13,,,,,0.917012635805113,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101301106,matched_2d
82,130,2,INV_2_20210613,2020-12-04 CARTIMEX S. A. 2021-06-13,2020-12-04,2021-06-13,9.02,9.02,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
83,128,1,INV_1_20191230,2019-06-07 Diners 2019-12-30,2019-06-07,2019-12-30,0.0,0.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
84,135,2,INV_2_20200905,2020-03-20 SURPAPEL 2020-09-05,2020-03-20,2020-09-05,9.02,9.02,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
85,139,4,INV_4_20260426,2023-04-26 BONOS DEL ESTADO 2026-04-26,2023-04-26,2026-04-26,4.3,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
86,129,1,INV_1_20200221,Pacifico 2020-02-21,2019-01-22,2020-02-21,3.33,3.33,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
87,139,4,INV_4_20290703,2023-07-03 BONOS DEL ESTADO 2029-07-03,2023-07-03,2029-07-03,5.36,,,,,0.893823759193572,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101290703,matched_2d
88,139,4,INV_4_20300828,2024-08-28 BONOS DEL ESTADO 2030-08-28,2024-08-28,2030-08-28,5.36,,,,,0.871900625375004,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401300828,matched_2d
89,128,1,INV_1_20190607,2018-03-14 Diners 2019-06-07,2018-03-14,2019-06-07,6.3,6.3,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
90,128,1,INV_1_20181212,2017-12-12 Diners 2018-12-12,2017-12-12,2018-12-12,5.75,5.75,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
91,128,1,INV_1_20180706,2018-05-10 Diners 2018-07-06,2018-05-10,2018-07-06,2.0,2.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
92,128,1,INV_1_20191202,2018-04-09 Diners 2019-12-02,2018-04-09,2019-12-02,6.45,6.45,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
93,136,2,INV_2_20201214,2020-07-06 PRODUCTORA CARTONERA S.A. 2020-12-14,2020-07-06,2020-12-14,8.5,8.5,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
94,139,4,INV_4_20340806,2025-08-06 BONOS DEL ESTADO 2034-08-06,2025-08-06,2034-08-06,7.93,,,,,0.843093579728246,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101340806,matched_2d
95,128,1,INV_1_20180314,2016-12-19 Diners 2018-03-14,2016-12-19,2018-03-14,6.75,6.75,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
96,128,1,INV_1_20171211,2016-11-10 Diners 2017-12-11,2016-11-10,2017-12-11,6.7,6.7,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
97,128,1,INV_1_20180509,2017-05-09 Diners 2018-05-09,2017-05-09,2018-05-09,5.7,5.7,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
98,6,73,INV_73_20341231,PRODUBANCO 2034-12-31,2025-08-01,2034-12-31,1.0,1.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
99,135,2,INV_2_20210720,2021-02-17 SURPAPEL 2021-07-20,2021-02-17,2021-07-20,8.63,8.63,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
100,128,1,INV_1_20180409,2017-01-13 Diners 2018-04-09,2017-01-13,2018-04-09,6.45,6.45,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
101,139,4,INV_4_20290517,2023-05-17 BONOS DEL ESTADO 2029-05-17,2023-05-17,2029-05-17,5.36,,,,,0.920348946161149,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100203290517,matched_2d
102,128,1,INV_1_20170113,2016-01-08 Diners 2017-01-13,2016-01-08,2017-01-13,7.3,7.3,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
103,128,1,INV_1_20200107,2019-02-15 Diners 2020-01-07,2019-02-15,2020-01-07,0.0,0.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
104,128,1,INV_1_20190904,2018-04-13 Diners 2019-09-04,2018-04-13,2019-09-04,6.35,6.35,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
105,139,4,INV_4_20310725,2024-07-25 BONOS DEL ESTADO 2031-07-25,2024-07-25,2031-07-25,5.64,,,,,0.850590573862553,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401310725,matched_2d
106,139,4,INV_4_20320627,2024-06-27 BONOS DEL ESTADO 2032-06-27,2024-06-27,2032-06-27,5.93,,,,,0.869054715083827,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401320627,matched_2d
107,133,2,INV_2_20200209,2019-09-30 DITEINCORP S.A 2020-02-09,2019-09-30,2020-02-09,8.75,8.75,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_alias
108,144,5,INV_5_20231129,Boyacá 2023-11-29 2023-11-29,,2023-11-29,8.2,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_alias
109,145,5,INV_5_20270314,DUPOCSA 2027-03-14 2027-03-14,,2027-03-14,8.5,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_alias
